Date,Opponent,Result,SP,K,E,TA,PCT,AST,SA,SE,DIG,RE,BS,BA,BE,TB,BHE,PTS,G,Team
11/29/2025,Iowa,W,4,59,8,141,0.362,55,7,5,56,8,1,28,1,15,1,81,W,penn state
11/28/2025,Nebraska,L,3,23,22,94,0.011,22,0,7,23,7,0,4,0,2,0,25,W,penn state
11/23/2025,Maryland,W,3,52,8,98,0.449,49,6,6,50,1,1,16,1,9,0,67,W,penn state
11/21/2025,Michigan St.,W,3,47,15,115,0.278,43,4,8,56,2,0,18,0,9,0,60,W,penn state
11/16/2025,Ohio St.,W,5,75,24,172,0.297,70,3,10,64,7,1,20,1,11,0,89,W,penn state
11/14/2025,Minnesota,L,3,41,17,115,0.209,41,3,14,35,4,1,15,1,8.5,0,52.5,W,penn state
11/09/2025,Illinois,W,4,66,15,175,0.291,60,8,13,70,2,1,14,1,8,0,82,W,penn state
11/07/2025,Purdue,L,3,42,14,116,0.241,41,3,10,45,4,0,10,0,5,0,50,W,penn state
11/02/2025,Indiana,L,3,36,12,103,0.233,34,1,12,40,6,1,12,2,7,0,44,W,penn state
10/31/2025,Michigan,L,5,65,32,186,0.177,58,11,12,64,2,4,16,2,12,0,88,W,penn state
10/26/2025,Ohio St.,W,4,62,17,146,0.308,57,8,17,61,9,2,12,1,8,0,78,W,penn state
10/24/2025,Rutgers,W,3,45,7,92,0.413,39,5,15,35,2,0,20,1,10,0,60,W,penn state
10/18/2025,Oregon,W,4,60,17,126,0.341,57,8,19,50,9,1,14,0,8,0,76,W,penn state
10/17/2025,Washington,L,5,61,30,176,0.176,58,10,17,67,7,1,4,1,3,0,74,W,penn state
10/11/2025,Northwestern,W,4,59,16,132,0.326,57,5,17,62,5,0,14,1,7,0,71,W,penn state
10/10/2025,Wisconsin,W,3,44,15,98,0.296,40,5,9,39,1,1,12,1,7,0,56,W,penn state
10/05/2025,Maryland,W,5,61,29,148,0.216,55,8,13,64,7,2,8,0,6,0,75,W,penn state
10/03/2025,Nebraska,L,3,16,26,88,-0.114,14,3,5,20,4,2,6,0,5,0,24,W,penn state
09/28/2025,UCLA,L,4,62,26,163,0.221,56,3,9,62,5,0,12,2,6,0,71,W,penn state
09/26/2025,Southern California,W,5,62,26,157,0.229,58,7,14,65,6,4,16,2,12,0,81,W,penn state
09/21/2025,Central Mich.,W,3,47,12,98,0.357,45,7,8,37,7,0,16,2,8,0,62,W,penn state
09/19/2025,Princeton,W,5,68,21,144,0.326,63,4,8,53,5,1,16,2,9,0,81,W,penn state
